Batch,BTC-USD,SOL-USD,DOGE-USD,SHIB-USD,AVAX-USD,ADA-USD,DOT-USD,ETH-USD
160,24130.55,44,0.07643,0.00001616,,0.5568,,1901.47
161,24130.55,44,0.07643,0.00001615,,0.5569,,1901.38
162,24130.55,44,0.07643,0.00001616,,0.5569,,1901.35
163,24130.55,44,0.07641,0.00001616,,0.5567,,1901.38
164,24130.55,43.99,0.07642,0.00001615,,0.5566,,1901.38
165,24130.55,44,0.07642,0.00001615,,0.5568,,1901.2
166,24129.71,43.99,0.07642,0.00001616,,0.5569,,1901.39
167,24129.71,44,0.07641,0.00001615,,0.5569,,1901.38
168,24129.86,44,0.07641,0.00001615,,0.5569,,1901.2
169,24129.88,43.99,0.07641,0.00001616,,0.5568,,1901.2
170,24129.88,43.98,0.07641,0.00001615,,0.5568,,1901.28
171,24130.56,43.97,0.07641,0.00001615,,0.5568,,1901.22
172,24131.19,43.97,0.07641,0.00001615,,0.5569,,1901.27
173,24131.39,43.98,0.07641,0.00001616,,0.557,,1901.51
174,24131.19,43.98,0.07641,0.00001615,,0.557,,1901.32
175,24131.39,43.98,0.07641,0.00001615,,0.557,,1901.46
176,24130.87,43.98,0.07641,0.00001616,,0.5569,,1901.32
177,24130.66,43.98,0.07641,0.00001615,,0.5569,,1901.25
178,24130.68,43.98,0.07642,0.00001615,,0.5569,,1901.44
179,24130.75,43.97,0.0764,0.00001615,,0.5569,,1901.41
180,24130.75,43.97,0.0764,0.00001615,,0.5569,,1901.13
181,24130.65,43.97,0.07641,0.00001616,,,,1901.13
182,24130.77,43.97,0.07644,0.00001615,,,,1901.13
183,24130.77,43.97,0.07644,0.00001615,,,,1901.04
184,24131.1,43.97,0.07641,0.00001615,,,,1901.33
185,24131.09,43.97,0.07639,0.00001615,,,,1901.36
186,24131.09,43.97,0.07641,0.00001615,,,,1901.36
187,24131.1,43.97,,0.00001615,,,,1901.35
188,24131.98,43.97,,0.00001615,,,,1901.35
189,24132.22,43.97,,0.00001615,,,,1901.36
190,24132.22,43.97,,0.00001615,,,,1901.37
191,24133.83,43.96,,0.00001615,,,,1901.17
192,24132.9,43.95,,0.00001615,,,,1901.14
193,24130.38,43.95,,0.00001615,,,,1901.29
194,24130.37,43.95,,0.00001615,,,,1901.37
195,24130.23,43.95,,0.00001615,,,,1901.47
196,24130.22,43.95,,0.00001615,,,,1901.49
197,24130.22,43.96,,0.00001615,,,,1901.5
198,24131.18,43.96,,0.00001615,,,,1901.57
199,24130.39,43.97,,0.00001615,,,,1901.58
200,24130.38,43.96,,0.00001615,,,,1901.58
201,24130.38,43.97,,0.00001615,,,,1901.18
202,24129.83,43.97,,0.00001615,,,,1901.06
203,24127.52,43.97,,0.00001615,,,,1901.25
204,24127.5,43.97,,0.00001615,,,,1900.94
205,24127.5,43.97,,0.00001615,,,,1901.1
206,24127.47,43.97,,0.00001615,,,,1901.08
207,24127.34,43.98,,0.00001615,,,,1900.95
208,24127.34,43.99,,0.00001616,,,,1900.94
209,24127.34,43.99,,0.00001615,,,,1900.94
210,24130.34,43.99,,0.00001615,,,,1900.91
211,24129.61,44,,0.00001615,,,,1901.06
212,24129.6,43.99,,0.00001615,,,,1901.05
213,24129.59,43.99,,0.00001615,,,,1900.88
214,24129.59,43.99,,0.00001616,,,,1901.06
215,24129.6,44,,0.00001616,,,,1901.02
216,24130.34,44,,0.00001615,,,,1901.04
217,24130.34,44,,0.00001615,,,,1900.89
218,24130.75,44,,0.00001615,,,,1900.89
219,24130.34,44,,0.00001615,,,,1900.69
220,24130.34,44,,0.00001615,,,,1900.71
221,24131.43,44,,0.00001615,,,,1900.51
222,24131.36,44,,0.00001615,,,,1900.49
223,24131.43,44,,0.00001615,,,,1900.49
224,24131.6,44.01,,0.00001615,,,,1900.49
225,24131.6,44.01,,0.00001615,,,,1900.49
226,24131.65,44.01,,0.00001615,,,,1900.5
227,24131.89,44.01,,0.00001615,,,,1900.56
228,24131.89,44.01,,0.00001615,,,,1900.56
229,24131.31,43.99,,0.00001614,,,,1900.51
230,24129.97,43.99,,0.00001614,,,,1900.56
231,24129.96,44,,0.00001614,,,,1900.51
232,24129.93,43.99,,0.00001614,,,,1900.51
233,24130.68,43.99,,0.00001614,,,,1900.5
234,24129.98,44,,0.00001614,,,,1900.5
235,24129.97,43.99,,0.00001614,,,,1900.51
236,24129.97,43.99,,0.00001614,,,,1900.51
237,24129.99,43.99,,0.00001614,,,,1900.51
238,24129.98,43.99,,0.00001614,,,,1900.51
239,24129.79,43.99,,0.00001614,,,,1900.51
240,24129.78,43.98,,0.00001614,,,,1900.51
241,24129.99,43.98,,0.00001614,,,,1900.51
242,24129.78,43.98,,0.00001614,,,,1900.51
243,24129.77,43.98,,0.00001613,,,,1900.67
244,24130.01,43.96,,0.00001613,,,,1900.68
245,24130,43.96,,0.00001614,,,,1900.69
246,24129.78,43.96,,0.00001613,,,,1900.73
247,24129.4,43.96,,0.00001613,,,,1900.74
248,24128.97,43.96,,0.00001613,,,,1900.74
249,24128.93,43.96,,0.00001613,,,,1900.75
250,24129.36,43.96,,0.00001613,,,,1900.75
251,24129.32,43.96,,0.00001613,,,,1900.75
252,24129.33,43.96,,0.00001613,,,,1900.76
253,24129.39,43.97,,0.00001612,,,,1900.76
254,24128.97,43.97,,0.00001613,,,,1900.76
255,24127.88,43.97,,0.00001613,,,,1900.77
256,24129.38,43.97,,0.00001613,,,,1900.51
257,24129.33,43.98,,0.00001613,,,,1900.51
258,24129.32,43.97,,0.00001613,,,,1900.51
259,24129.31,43.97,,0.00001613,,,,1900.52
260,24128.97,43.96,,0.00001613,,,,1900.64
261,24128.97,43.96,,0.00001613,,,,1900.83
262,24129.03,43.97,,0.00001613,,,,1900.83
263,24128.97,43.97,,0.00001613,,,,1900.84
264,24128.98,43.97,,0.00001613,,,,1900.85
265,24128.8,43.97,,0.00001613,,,,1900.86
266,24127.67,43.97,,0.00001613,,,,1900.87
267,24128.56,43.98,,0.00001614,,,,1900.87
268,24128.56,43.97,,0.00001614,,,,1900.67
269,24127.78,43.97,,0.00001614,,,,1900.65
270,24127.74,43.97,,0.00001614,,,,1900.65
271,24127.67,43.98,,0.00001614,,,,1900.74
272,24127.66,43.98,,0.00001615,,,,1900.74
273,24127.99,43.97,,0.00001615,,,,1900.65
274,24127.78,43.98,,0.00001613,,,,1900.5
275,24127.69,43.98,,0.00001613,,,,1900.5
276,24127.68,44,,0.00001614,,,,1900.39
277,24127.68,44,,0.00001614,,,,1900.68
278,24127.69,44,,0.00001614,,,,1900.76
279,24127.68,44,,0.00001615,,,,1900.79
280,24128.62,44.01,,0.00001614,,,,1900.78
281,24127.69,44.01,,0.00001614,,,,1900.58
282,24127.55,44.01,,0.00001613,,,,1900.51
283,24128,44.01,,0.00001614,,,,1900.52
284,24127.99,44.02,,0.00001613,,,,1900.53
285,24128.27,44.03,,0.00001613,,,,1900.55
286,24127.7,44.04,,0.00001614,,,,1900.57
287,24127.69,44.04,,0.00001613,,,,1900.56
288,24127.14,44.02,,0.00001613,,,,1900.57
289,24127.14,44.01,,0.00001613,,,,1900.52
290,24127.14,44.01,,0.00001612,,,,1900.51
291,24127.14,44.01,,0.00001613,,,,1900.41
292,24127.11,44.01,,0.00001613,,,,1900.38
293,24124.09,44.01,,0.00001613,,,,1900.53
294,24123.39,44.01,,0.00001612,,,,1900.53
295,24125.1,44.01,,0.00001613,,,,1900.39
296,24124.77,44.01,,0.00001613,,,,1900.43
297,24123.25,44,,0.00001613,,,,1900.43
298,24123.25,44,,0.00001613,,,,1900.42
299,24124.1,44,,0.00001613,,,,1900.37
300,24124.1,44,,0.00001613,,,,1900.37
301,24122.96,43.99,,0.00001613,,,,1900.36
302,24122.96,43.99,,0.00001613,,,,1900.38
